VolumePercentage,posf10264,posf10325,posf10289
0.5,151,157,175
5,163,173,189
10,168,178,196
20,174,186,204
30,180,192,210
50,192,206,221
70,209,222,231
80,220,231,238
90,234,244,246
95,246,255,253
99.5,257,268,261
