GCxGC_Bin,Formula,Reference_Compound,Family,Carbon_Count,exp_Tb_K,Tb_source,exp_Tm_K,Tm_source,exp_omega,omega_source
C08-Monocycloparaffin,C8H16,ethyl cyclohexane,mono_cyclo,8,404.9,nist,161.8,nist,,
C09-Monocycloparaffin,C9H18,propyl cyclohexane,mono_cyclo,9,429.9,nist,178.3,nist,,
C10-Monocycloparaffin,C10H20,butyl cyclohexane,mono_cyclo,10,454.1,nist,198.4,nist,,
C11-Monocycloparaffin,C11H22,pentyl cyclohexane,mono_cyclo,11,478.30000000000007,series,,,,
C12-Monocycloparaffin,C12H24,hexyl cyclohexane,mono_cyclo,12,502.5000000000001,series,,,,
C13-Monocycloparaffin,C13H26,heptyl cyclohexane,mono_cyclo,13,526.7000000000002,series,,,,
C14-Monocycloparaffin,C14H28,octyl cyclohexane,mono_cyclo,14,550.9000000000002,series,,,,
C15-Monocycloparaffin,C15H30,nonyl cyclohexane,mono_cyclo,15,575.1000000000003,series,,,,
C16-Monocycloparaffin,C16H32,decyl cyclohexane,mono_cyclo,16,599.3000000000003,series,,,,
C17-Monocycloparaffin,C17H34,undecyl cyclohexane,mono_cyclo,17,623.5000000000003,series,,,,
C18-Monocycloparaffin,C18H36,dodecyl cyclohexane,mono_cyclo,18,647.7000000000004,series,,,,
C19-Monocycloparaffin,C19H38,tridecyl cyclohexane,mono_cyclo,19,671.9000000000004,series,,,,
C08-Dicycloparaffin,C8H14,Octahydropentalene,di_cyclo,8,,,,,,
C09-Dicycloparaffin,C9H16,Hydrindane,di_cyclo,9,,,,,,
C10-Dicycloparaffin,C10H18,Decalin,di_cyclo,10,464.5,nist,230.2,nist,0.29,nist
C11-Dicycloparaffin,C11H20,2-methyldecalin,di_cyclo,11,484.5,series,,,,
C12-Dicycloparaffin,C12H22,2-ethyldecalin,di_cyclo,12,504.5,series,,,,
C13-Dicycloparaffin,C13H24,2-propyldecalin,di_cyclo,13,524.5,series,,,,
C14-Dicycloparaffin,C14H26,2-butyldecalin,di_cyclo,14,544.5,series,,,,
C15-Dicycloparaffin,C15H28,2-pentyldecalin,di_cyclo,15,564.5,series,,,,
C16-Dicycloparaffin,C16H30,2-hexyldecalin,di_cyclo,16,584.5,series,,,,
C17-Dicycloparaffin,C17H32,2-heptyldecalin,di_cyclo,17,604.5,series,,,,
C10-Tricycloparaffin,C10H16,C1CC2C(C1)C1CCCC21,tri_cyclo,10,,,,,,
C11-Tricycloparaffin,C11H18,C1CC2CC3CCCC3C2C1,tri_cyclo,11,,,,,,
C12-Tricycloparaffin,C12H20,C1CC2CC3CCCC3CC2C1,tri_cyclo,12,,,,,,
C13-Tricycloparaffin,C13H22,C1CCC2C(C1)CC1CCCCC12,tri_cyclo,13,,,,,,
C14-Tricycloparaffin,C13H22,C1CCC2CC3CCCCC3CC2C1,tri_cyclo,13,,,,,,
C10-Alkene,C10H20,1-decene,alkene,10,443.7,nist,206.9,nist,0.491,nist
C12-Alkene,C12H24,1-dodecene,alkene,12,486.5,nist,237.9,nist,0.558,nist
C14-Alkene,C14H28,1-tetradecene,alkene,14,529.3,series,,,,
C16-Alkene,C16H32,1-hexadecene,alkene,16,572.1,series,,,,
ATJ-C12-Isoparaffin,C12H26,"2,2,4,6,6-pentamethyl heptane",iso_alkane,12,450.6,nist,,,,
ATJ-C16-Isoparaffin,C16H34,"2,2,4,4,6,8,8-heptamethyl nonane",iso_alkane,16,519.7,nist,,,,
