GCxGC_Bin,Formula,Reference_Compound,Family,Carbon_Count,YSI,YSI_err,Source,Source_Species
C13-Dicycloparaffin,C13H24,2-propyldecalin,di_cyclo,13,100.3,3.5,holdlargest_di_cyclo,held_at_C12_2-ethyldecalin
C14-Dicycloparaffin,C14H26,2-butyldecalin,di_cyclo,14,100.3,3.5,holdlargest_di_cyclo,held_at_C12_2-ethyldecalin
C15-Dicycloparaffin,C15H28,2-pentyldecalin,di_cyclo,15,100.3,3.5,holdlargest_di_cyclo,held_at_C12_2-ethyldecalin
C16-Dicycloparaffin,C16H30,2-hexyldecalin,di_cyclo,16,100.3,3.5,holdlargest_di_cyclo,held_at_C12_2-ethyldecalin
C17-Dicycloparaffin,C17H32,2-heptyldecalin,di_cyclo,17,100.3,3.5,holdlargest_di_cyclo,held_at_C12_2-ethyldecalin
C10-Tricycloparaffin,C10H16,C1CC2C(C1)C1CCCC21,tri_cyclo,10,98.86324324324322,0.34309342417641314,crossfill_tri_cyclo_from_mono_cyclo_x1.3,1.3x mono_cyclo linear fit over C7_C19
C11-Tricycloparaffin,C11H18,C1CC2CC3CCCC3C2C1,tri_cyclo,11,108.49729729729725,0.34309342417641314,crossfill_tri_cyclo_from_mono_cyclo_x1.3,1.3x mono_cyclo linear fit over C7_C19
C12-Tricycloparaffin,C12H20,C1CC2CC3CCCC3CC2C1,tri_cyclo,12,118.1313513513513,0.34309342417641314,crossfill_tri_cyclo_from_mono_cyclo_x1.3,1.3x mono_cyclo linear fit over C7_C19
C13-Tricycloparaffin,C13H22,C1CCC2C(C1)CC1CCCCC12,tri_cyclo,13,127.76540540540536,0.34309342417641314,crossfill_tri_cyclo_from_mono_cyclo_x1.3,1.3x mono_cyclo linear fit over C7_C19
C14-Tricycloparaffin,C13H22,C1CCC2CC3CCCCC3CC2C1,tri_cyclo,13,127.76540540540536,0.34309342417641314,crossfill_tri_cyclo_from_mono_cyclo_x1.3,1.3x mono_cyclo linear fit over C7_C19
C10-Alkene,C10H20,1-decene,alkene,10,74.8,2.2,measured_name,1-decene
C12-Alkene,C12H24,1-dodecene,alkene,12,90.3,2.6,measured_name,1-dodecene
C14-Alkene,C14H28,1-tetradecene,alkene,14,90.3,2.6,holdlargest_alkene,held_at_C12_1-dodecene
C16-Alkene,C16H32,1-hexadecene,alkene,16,90.3,2.6,holdlargest_alkene,held_at_C12_1-dodecene
ATJ-C12-Isoparaffin,C12H26,"2,2,4,6,6-pentamethyl heptane",iso_alkane,12,99.3,2.9,archetype_copy_C12-Isoparaffin (no measured YSI for PMH),"2,2,4,6,6-pentamethylheptane"
ATJ-C16-Isoparaffin,C16H34,"2,2,4,4,6,8,8-heptamethyl nonane",iso_alkane,16,123.00285714285715,8.526853938894348,archetype_copy_C16-Isoparaffin (no measured YSI for HMN),linear_fit_C7_C12
