Main_Group_No,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,55,84,85
1,0.0,28.47801,11.666349,5.349347,936.8214,873.1758,1372.9816,1466.4441,432.58057,706.6574,273.29172,481.897,224.368,384.34326,300.6897,343.4417,1020.5982,277.79736,666.8363,470.64224,195.55505,151.44415,33.240677,7.720969,84.26012,536.3646,589.7142,115.75882,159.96141,268.41992,949.6067,386.84116,415.27515,218.06027,300.06033,290.1138,7.6714826,106.25305,308.04828,52.72881,553.95483,-400.1033,45.649513,214.13863,-30.625507,893.4992,350.27878,192.82529,71.53853,94.7504,479.59225,774.45215,348.91284,653.5913
2,16.999664,0.0,26.616098,16.671951,673.85547,671.9233,985.2149,1157.2203,233.00017,384.7052,148.10352,296.77216,55.790718,254.31525,69.56104,202.73505,694.43677,205.01111,432.4497,449.4651,146.08302,102.992744,65.774765,21.446398,103.18924,385.0575,393.77133,136.63293,150.1961,168.63525,670.9033,296.4562,326.20306,110.721085,147.57951,192.16168,69.18558,84.89386,167.66815,120.76198,418.6649,-263.3332,51.887077,107.25605,23.249723,546.2613,239.10316,57.831837,19.258068,80.54869,320.9533,487.33157,217.85953,457.674
3,37.195618,14.64987,0.0,25.610838,521.8167,533.26,741.4035,846.5437,187.32202,234.38608,105.21554,204.45387,32.989265,125.84237,53.486656,133.15034,574.92786,144.27184,269.10315,329.73322,56.073757,23.772306,-12.417097,12.983223,85.339905,219.85597,247.91685,141.89366,38.177315,101.52167,460.92242,204.80392,184.275,59.62265,105.25821,115.97523,-24.65517,71.81769,80.583885,55.547413,354.25238,-165.52606,31.659527,74.0927,27.116032,384.14545,182.27472,48.15706,9.123532,38.884125,203.0539,351.37897,132.17322,245.4757
4,3.5848582,7.1442165,-8.175919,0.0,544.8955,534.00494,782.1063,827.0255,247.58594,277.45724,151.38805,277.82907,114.499435,191.6789,92.64935,167.50175,613.3527,173.26413,325.77054,338.39355,79.76254,35.271935,-20.529482,-10.0783615,20.809155,272.06406,296.15295,53.157455,59.91829,150.90028,511.6715,186.0688,195.67026,106.14842,151.76343,133.98125,-39.76425,40.18013,177.04742,41.156006,358.79544,-214.47859,27.48953,116.31931,16.800116,481.67374,218.21364,93.35969,27.843313,40.52339,249.21104,423.1167,178.30447,346.01413
5,279.8916,323.67673,230.48851,233.70755,0.0,24.937069,-27.227726,-158.87225,10.968675,-62.017765,60.692184,87.724396,19.204727,-70.10973,-30.414392,-44.785095,-226.12122,-18.983719,114.35861,-13.354626,232.15088,211.65433,235.74985,284.0692,380.6642,118.14526,184.86343,532.5339,223.82814,70.96189,-81.54484,458.77383,334.72186,214.32213,-97.87736,160.97725,306.5252,78.07652,1.0733335,138.7097,-10.876505,38.06888,-58.251568,-5.9802446,150.41403,2.5967429,-162.02905,10.6799135,10.692207,161.43463,17.107536,-29.802752,-91.39222,-53.624832
6,-20.091671,-15.213921,-6.320219,-33.896175,58.118538,0.0,68.45793,-65.505974,15.039271,-124.72622,49.770607,167.70471,-39.107517,-17.422047,-28.456467,107.7147,149.10512,-2.3428686,56.176704,-31.294077,-14.566868,-47.734077,-58.846283,-28.671019,-20.68307,56.069496,12.598304,-17.559464,41.59324,16.45047,65.72919,70.72174,34.010098,12.412305,22.753439,-28.449696,-20.50222,-5.244643,120.54639,24.7367,86.657394,-25.920496,12.034328,29.268326,-64.5633,157.35834,21.667126,15.373363,-25.248892,-11.055124,39.09137,74.64429,1.9839431,31.21012
7,352.88477,405.72955,362.4204,334.21445,-12.262558,-21.446995,0.0,-200.5556,-122.187126,-127.042496,12.463366,80.354065,-90.63958,-74.54945,-126.81275,-60.057083,-426.76633,-61.579735,160.86569,48.956203,348.0376,319.33075,413.66208,410.805,582.1552,218.57545,284.2582,753.9077,442.38885,75.0533,-97.371796,691.47705,531.0688,253.25098,-164.46872,211.35342,548.7716,129.95921,11.037094,256.55823,-120.09861,52.74219,-58.141323,-14.065242,194.19557,-36.368366,-226.5729,-28.152258,-8.528451,258.30206,33.559593,-99.65979,-134.46735,-77.54117
8,378.93866,319.03616,212.59973,334.71844,-221.43988,-230.03534,-340.99542,0.0,-333.6478,-378.96252,-198.58565,-173.41827,-351.15384,-224.6196,-102.90088,-27.31036,-327.4364,-236.03569,-195.38373,-133.0331,-5.446168,-100.518425,77.771194,289.2979,543.3809,-220.34987,-104.554665,798.83185,181.78358,-170.75377,-287.52753,415.48035,6.011963,-99.79117,-119.74475,-71.31449,218.45074,210.53912,-166.60577,84.292336,-194.36327,218.25418,-122.59082,-41.40281,134.03662,-193.62474,-145.91127,-88.33838,-37.460526,125.948,-222.94144,-302.2502,-314.45148,-650.3598
9,70.44411,19.101198,-43.520206,33.427113,177.83575,146.26982,262.35455,-200.07819,0.0,15.402607,-19.821194,54.028584,-66.73172,27.90017,101.34452,137.78291,365.53766,-20.715988,17.631134,51.798073,-117.849045,-194.57884,-173.76762,-25.839352,55.589924,-70.61931,-6.901694,145.8517,-52.437263,-37.07219,174.0893,42.00393,-139.17517,-96.49849,125.096016,-62.474,-162.78658,85.800385,45.08613,-71.99259,126.67866,-30.384823,-43.33757,77.89939,-17.056387,236.20164,155.32446,50.171448,10.098243,-19.732311,5.6055064,138.46875,-14.327019,-153.7101
